"PLANTID" "GARDENID" "YEAR" "SEASON" "LEAFNR" "PERCENTDAMAGE"
"1250" "RAS_1492" "RAS" 2022 "S1" 7 0
"1251" "GON_1048" "GON" 2021 "S4" 2 0.01
"1252" "RUI_0566" "RUI" 2021 "S2" 24 0.05
"1253" "RUI_0516" "RUI" 2021 "S2" 18 0.05
"1254" "RUI_0543" "RUI" 2021 "S3" 20 0.08
"1255" "GON_0985" "GON" 2022 "S1" 4 0
"1256" "RAS_1413" "RAS" 2022 "S1" 10 0
"1257" "RUI_0357" "RUI" 2021 "S2" 15 0.03
"1258" "RUI_0459" "RUI" 2021 "S3" 16 0.025
"1259" "ALN_0805" "ALN" 2021 "S2" 1 0.07
"1260" "RAS_1358" "RAS" 2022 "S1" 1 0
"1261" "RUI_0427" "RUI" 2021 "S3" 13 0.025
"1262" "ALN_0785" "ALN" 2021 "S3" 14 0.2
"1263" "GON_1081" "GON" 2021 "S3" 2 0.01
"1264" "RUI_0518" "RUI" 2021 "S2" 17 0.01
"1265" "ALN_0837" "ALN" 2021 "S3" 3 0.01
"1266" "ALN_0673" "ALN" 2021 "S3" 14 0.06
"1267" "RAS_1484" "RAS" 2021 "S2" 3 0.01
"1268" "GON_1008" "GON" 2022 "S2" 4 0
"1269" "RUI_0635" "RUI" 2021 "S3" 23 0.05
"1270" "RUI_0407" "RUI" 2021 "S1" 3 0.01
"1271" "RUI_0559" "RUI" 2021 "S2" 9 0.01
"1272" "RUI_0573" "RUI" 2021 "S3" 64 0.17
"1273" "RUI_0564" "RUI" 2021 "S2" 6 0.03
"1274" "ALN_0767" "ALN" 2021 "S3" 19 0.5
"1275" "ALN_0946" "ALN" 2022 "S2" 4 0
"1276" "KEV_0080" "KEV" 2022 "S1" 8 0
"1277" "RUI_0599" "RUI" 2021 "S2" 12 0.03
"1278" "ALN_0681" "ALN" 2021 "S1" 3 0.02
"1279" "RAS_1590" "RAS" 2022 "S2" 4 0
"1280" "KEV_0008" "KEV" 2022 "S2" 3 0
"1281" "ALN_0642" "ALN" 2021 "S3" 39 0.3
"1282" "RAS_1479" "RAS" 2021 "S3" 1 0.15
"1283" "GON_0978" "GON" 2021 "S4" 4 0.01
"1284" "ALN_0903" "ALN" 2021 "S3" 37 0.9
"1285" "RUI_0338" "RUI" 2021 "S2" 13 0.01
"1286" "GON_0978" "GON" 2021 "S1" 3 0.0833
"1287" "GON_1270" "GON" 2021 "S4" 2 0.01
"1288" "GON_1105" "GON" 2022 "S2" 4 0
"1289" "RUI_0506" "RUI" 2021 "S2" 12 0.08
"1290" "GON_1210" "GON" 2021 "S2" 10 0.0417
"1291" "KEV_0311" "KEV" 2022 "S2" 6 0
"1292" "RAS_1444" "RAS" 2022 "S1" 8 0
"1293" "GON_0994" "GON" 2021 "S2" 4 0.01
"1294" "ALN_0754" "ALN" 2021 "S1" 5 0.01
"1295" "RAS_1375" "RAS" 2021 "S3" 2 0.01
"1296" "GON_1028" "GON" 2022 "S1" 7 0
"1297" "KEV_0187" "KEV" 2022 "S2" 1 0.02
"1298" "RAS_1294" "RAS" 2022 "S1" 2 0
"1299" "KEV_0108" "KEV" 2022 "S2" 10 0
"1300" "GON_1033" "GON" 2022 "S2" 5 0
"1301" "RUI_0384" "RUI" 2021 "S2" 14 0.01
"1302" "RAS_1339" "RAS" 2021 "S3" 2 0.01
"1303" "RUI_0426" "RUI" 2021 "S1" 3 0.02
"1304" "ALN_0718" "ALN" 2022 "S2" 9 0
"1305" "ALN_0821" "ALN" 2021 "S2" 7 0.03
"1306" "GON_1089" "GON" 2021 "S3" 2 0.01
"1307" "KEV_0029" "KEV" 2022 "S2" 6 0
"1308" "RUI_0402" "RUI" 2021 "S2" 19 0.08
"1309" "ALN_0800" "ALN" 2021 "S3" 11 0.35
"1310" "ALN_0925" "ALN" 2021 "S2" 2 0.05
"1311" "RUI_0611" "RUI" 2021 "S2" 15 0.1
"1312" "RAS_1352" "RAS" 2021 "S3" 1 0.01
"1313" "ALN_0907" "ALN" 2021 "S3" 11 0.15
"1314" "RAS_1545" "RAS" 2021 "S3" 9 0.3
"1315" "RUI_0584" "RUI" 2021 "S2" 32 0.08
"1316" "RUI_0453" "RUI" 2021 "S2" 8 0.05
"1317" "RUI_0573" "RUI" 2021 "S2" 19 0.03
"1318" "RUI_0635" "RUI" 2021 "S3" 16 0.025
"1319" "RUI_0628" "RUI" 2021 "S2" 24 0.03
"1320" "GON_1003" "GON" 2022 "S2" 10 0.01
"1321" "RAS_1487" "RAS" 2021 "S2" 5 0.02
"1322" "RUI_0587" "RUI" 2021 "S3" 1 0.01
"1323" "ALN_0742" "ALN" 2022 "S1" 6 0.05
"1324" "GON_0967" "GON" 2021 "S3" 11 0.01
"1325" "ALN_0706" "ALN" 2021 "S3" 29 0.3
"1326" "ALN_0773" "ALN" 2021 "S3" 1 0.01
"1327" "RUI_0431" "RUI" 2021 "S1" 1 0.02
"1328" "GON_1222" "GON" 2022 "S1" 2 0
"1329" "RUI_0554" "RUI" 2021 "S3" 10 0.01
"1330" "RAS_1503" "RAS" 2021 "S2" 3 0.02
"1331" "ALN_0866" "ALN" 2021 "S3" 26 0.15
"1332" "GON_1082" "GON" 2021 "S2" 5 0.1667
"1333" "RUI_0629" "RUI" 2021 "S2" 37 0.01
"1334" "ALN_0661" "ALN" 2021 "S2" 1 0.05
"1335" "RUI_0565" "RUI" 2021 "S1" 7 0.08
"1336" "ALN_0801" "ALN" 2021 "S3" 33 0.3
"1337" "RAS_1297" "RAS" 2022 "S1" 10 0
"1338" "RAS_1492" "RAS" 2022 "S1" 4 0
"1339" "RUI_0622" "RUI" 2021 "S2" 1 0.3
"1340" "GON_0977" "GON" 2021 "S4" 2 0.01
"1341" "RUI_0596" "RUI" 2021 "S2" 35 0.2
"1342" "RUI_0551" "RUI" 2021 "S3" 7 0.01
"1343" "RAS_1520" "RAS" 2022 "S1" 2 0
"1344" "ALN_0671" "ALN" 2021 "S3" 26 0.16
"1345" "GON_1060" "GON" 2022 "S2" 10 0
"1346" "RUI_0425" "RUI" 2021 "S1" 24 0.01
"1347" "KEV_0295" "KEV" 2022 "S1" 1 0
"1348" "ALN_0769" "ALN" 2021 "S2" 3 0.03
"1349" "ALN_0712" "ALN" 2021 "S2" 5 0.05
"1350" "RUI_0324" "RUI" 2021 "S2" 7 0.05
"1351" "GON_1187" "GON" 2021 "S3" 7 0.01
"1352" "GON_1181" "GON" 2022 "S2" 2 0
"1353" "RAS_1359" "RAS" 2022 "S1" 6 0
"1354" "KEV_0267" "KEV" 2022 "S1" 6 0
"1355" "KEV_0001" "KEV" 2022 "S2" 1 0.01
"1356" "RUI_0584" "RUI" 2021 "S2" 9 0.05
"1357" "ALN_0744" "ALN" 2021 "S2" 1 0.1
"1358" "GON_1006" "GON" 2021 "S3" 1 0.01
"1359" "RUI_0552" "RUI" 2021 "S2" 10 0.03
"1360" "KEV_0231" "KEV" 2022 "S2" 7 0
"1361" "GON_1048" "GON" 2022 "S2" 1 0
"1362" "RUI_0427" "RUI" 2021 "S2" 2 0.02
"1363" "KEV_0215" "KEV" 2022 "S1" 4 0
"1364" "RUI_0365" "RUI" 2021 "S2" 5 0.03
"1365" "ALN_0781" "ALN" 2021 "S2" 4 0.02
"1366" "ALN_0757" "ALN" 2022 "S1" 9 0
"1367" "GON_0988" "GON" 2022 "S2" 5 0
"1368" "ALN_0852" "ALN" 2022 "S2" 5 0
"1369" "RUI_0471" "RUI" 2021 "S3" 1 0.01
"1370" "ALN_0944" "ALN" 2022 "S2" 1 0.04
"1371" "GON_0990" "GON" 2021 "S2" 1 0.0417
"1372" "ALN_0844" "ALN" 2021 "S3" 22 0.6
"1373" "GON_0971" "GON" 2021 "S1" 2 0.0417
"1374" "RAS_1593" "RAS" 2022 "S1" 3 0
"1375" "ALN_0864" "ALN" 2022 "S1" 7 0.45
"1376" "KEV_0078" "KEV" 2022 "S2" 5 0
"1377" "RUI_0615" "RUI" 2021 "S2" 14 0.1
"1378" "GON_1121" "GON" 2022 "S2" 2 0
"1379" "RUI_0594" "RUI" 2021 "S3" 4 0.08
"1380" "ALN_0736" "ALN" 2021 "S3" 5 0.04
"1381" "RAS_1328" "RAS" 2021 "S2" 6 0.01
"1382" "ALN_0655" "ALN" 2021 "S3" 5 0.02
"1383" "ALN_0773" "ALN" 2022 "S1" 6 0
"1384" "ALN_0859" "ALN" 2021 "S3" 11 0.04
"1385" "RUI_0362" "RUI" 2021 "S2" 7 0.01
"1386" "RUI_0394" "RUI" 2021 "S2" 22 0.1
"1387" "RAS_1283" "RAS" 2022 "S1" 9 0
"1388" "RUI_0406" "RUI" 2021 "S3" 1 0.05
"1389" "KEV_0250" "KEV" 2022 "S2" 2 0
"1390" "RAS_1390" "RAS" 2021 "S3" 7 0.01
"1391" "RUI_0424" "RUI" 2021 "S3" 10 0.025
"1392" "RAS_1324" "RAS" 2021 "S3" 7 0.02
"1393" "KEV_0067" "KEV" 2022 "S1" 4 0
"1394" "ALN_0953" "ALN" 2021 "S3" 7 0.13
"1395" "RUI_0408" "RUI" 2021 "S2" 27 0.05
"1396" "ALN_0779" "ALN" 2021 "S3" 23 0.2
"1397" "GON_1226" "GON" 2021 "S4" 4 0.01
"1398" "RAS_1572" "RAS" 2022 "S2" 8 0
"1399" "RUI_0618" "RUI" 2021 "S2" 11 0.05
"1400" "GON_1030" "GON" 2021 "S4" 3 0.01
"1401" "KEV_0008" "KEV" 2022 "S1" 2 0
"1402" "RAS_1585" "RAS" 2021 "S3" 5 0.01
"1403" "RAS_1330" "RAS" 2021 "S2" 7 0.28
"1404" "ALN_0814" "ALN" 2021 "S3" 4 0.01
"1405" "ALN_0655" "ALN" 2021 "S2" 7 0.02
"1406" "KEV_0246" "KEV" 2021 "S2" 8 0.1
"1407" "ALN_0920" "ALN" 2022 "S2" 10 0
"1408" "RUI_0332" "RUI" 2021 "S2" 16 0.05
"1409" "ALN_0902" "ALN" 2022 "S1" 10 0
"1410" "RUI_0594" "RUI" 2021 "S3" 29 0.75
"1411" "ALN_0720" "ALN" 2022 "S1" 6 0
"1412" "RUI_0415" "RUI" 2021 "S2" 9 0.01
"1413" "RUI_0508" "RUI" 2021 "S2" 10 0.01
"1414" "RUI_0339" "RUI" 2021 "S2" 36 0.2
"1415" "RUI_0600" "RUI" 2021 "S1" 10 0.01
"1416" "KEV_0181" "KEV" 2022 "S2" 7 0
"1417" "ALN_0923" "ALN" 2021 "S3" 14 0.3
"1418" "GON_1085" "GON" 2022 "S1" 4 0
"1419" "GON_1269" "GON" 2021 "S2" 4 0.01
"1420" "ALN_0898" "ALN" 2021 "S3" 29 0.15
"1421" "RUI_0365" "RUI" 2021 "S2" 18 0.01
"1422" "ALN_0849" "ALN" 2022 "S1" 7 0
"1423" "GON_1159" "GON" 2022 "S1" 5 0
"1424" "RUI_0554" "RUI" 2021 "S1" 5 0.02
"1425" "ALN_0686" "ALN" 2021 "S1" 1 0.02
"1426" "RAS_1590" "RAS" 2022 "S2" 1 0
"1427" "ALN_0735" "ALN" 2022 "S1" 6 0
"1428" "ALN_0861" "ALN" 2022 "S1" 3 0
"1429" "RUI_0587" "RUI" 2021 "S2" 21 0.02
"1430" "RUI_0350" "RUI" 2021 "S2" 4 0.01
"1431" "RUI_0640" "RUI" 2021 "S3" 2 0.025
"1432" "RAS_1365" "RAS" 2022 "S1" 2 0
"1433" "KEV_0251" "KEV" 2022 "S1" 8 0.0416666666666666
"1434" "ALN_0842" "ALN" 2022 "S1" 2 0
"1435" "RAS_1290" "RAS" 2022 "S2" 8 0
"1436" "ALN_0813" "ALN" 2021 "S3" 15 0.05
"1437" "KEV_0217" "KEV" 2022 "S2" 8 0
"1438" "RAS_1527" "RAS" 2021 "S2" 1 0.01
"1439" "ALN_0806" "ALN" 2021 "S3" 31 0.06
"1440" "RUI_0523" "RUI" 2021 "S1" 8 0.02
"1441" "GON_1073" "GON" 2021 "S2" 1 0.1667
"1442" "RUI_0520" "RUI" 2021 "S2" 1 0.03
"1443" "RAS_1416" "RAS" 2021 "S2" 1 0.03
"1444" "ALN_0671" "ALN" 2021 "S2" 2 0.005
"1445" "ALN_0747" "ALN" 2021 "S2" 11 0.01
"1446" "KEV_0069" "KEV" 2022 "S1" 10 0
"1447" "RAS_1554" "RAS" 2022 "S1" 6 0
"1448" "GON_1097" "GON" 2021 "S3" 14 0.08333
"1449" "KEV_0093" "KEV" 2022 "S1" 9 0
"1450" "RUI_0545" "RUI" 2021 "S3" 28 0.17
"1451" "RUI_0579" "RUI" 2021 "S2" 37 0.05
"1452" "GON_1089" "GON" 2022 "S1" 7 0
"1453" "ALN_0666" "ALN" 2022 "S1" 4 0.3
"1454" "RAS_1304" "RAS" 2022 "S1" 1 0.1
"1455" "RAS_1288" "RAS" 2021 "S3" 2 0.01
"1456" "GON_0964" "GON" 2021 "S2" 8 0.0417
"1457" "ALN_0916" "ALN" 2021 "S3" 6 0.08
"1458" "GON_1014" "GON" 2022 "S1" 10 0.01
"1459" "ALN_0890" "ALN" 2021 "S2" 5 0.11
"1460" "RAS_1337" "RAS" 2021 "S3" 4 0.15
"1461" "RUI_0563" "RUI" 2021 "S2" 45 0.03
"1462" "RAS_1303" "RAS" 2022 "S1" 3 0
"1463" "RUI_0598" "RUI" 2021 "S2" 3 0.08
"1464" "ALN_0917" "ALN" 2021 "S3" 15 0.1
"1465" "RAS_1555" "RAS" 2021 "S3" 2 0.15
"1466" "RUI_0430" "RUI" 2021 "S2" 19 0.03
"1467" "RUI_0337" "RUI" 2021 "S3" 14 0.025
"1468" "RUI_0363" "RUI" 2021 "S3" 2 0.025
"1469" "RUI_0352" "RUI" 2021 "S2" 10 0.15
"1470" "RUI_0340" "RUI" 2021 "S2" 12 0.08
"1471" "ALN_0679" "ALN" 2021 "S2" 4 0.03
"1472" "ALN_0742" "ALN" 2022 "S2" 3 0
"1473" "RAS_1429" "RAS" 2021 "S3" 2 0.04
"1474" "RAS_1479" "RAS" 2022 "S1" 6 0
"1475" "RUI_0567" "RUI" 2021 "S3" 1 0.01
"1476" "KEV_0086" "KEV" 2022 "S2" 6 0
"1477" "ALN_0781" "ALN" 2021 "S2" 2 0.1
"1478" "RUI_0337" "RUI" 2021 "S3" 38 0.08
"1479" "KEV_0262" "KEV" 2022 "S1" 7 0
"1480" "GON_1054" "GON" 2022 "S1" 4 0
"1481" "ALN_0701" "ALN" 2021 "S2" 8 0.3
"1482" "ALN_0949" "ALN" 2022 "S2" 3 0
"1483" "RUI_0399" "RUI" 2021 "S1" 17 0.17
"1484" "ALN_0855" "ALN" 2021 "S2" 12 0.02
"1485" "ALN_0775" "ALN" 2022 "S1" 6 0.9
"1486" "RUI_0477" "RUI" 2021 "S2" 4 0.01
"1487" "ALN_0696" "ALN" 2021 "S3" 10 0.08
"1488" "KEV_0107" "KEV" 2022 "S2" 5 0
"1489" "ALN_0919" "ALN" 2021 "S3" 29 0.15
"1490" "KEV_0232" "KEV" 2022 "S2" 2 0
"1491" "GON_1173" "GON" 2022 "S2" 9 0
"1492" "ALN_0939" "ALN" 2021 "S2" 5 0.05
"1493" "RUI_0459" "RUI" 2021 "S3" 14 0.025
"1494" "ALN_0878" "ALN" 2021 "S3" 16 0.25
"1495" "ALN_0855" "ALN" 2021 "S2" 1 0.01
"1496" "RAS_1363" "RAS" 2021 "S3" 4 0.005
"1497" "RAS_1484" "RAS" 2022 "S1" 5 0
"1498" "RUI_0586" "RUI" 2021 "S2" 7 0.05
"1499" "ALN_0726" "ALN" 2021 "S3" 22 0.2
"1500" "ALN_0723" "ALN" 2021 "S3" 7 0.16
"1501" "RUI_0405" "RUI" 2021 "S3" 1 0.03
"1502" "ALN_0692" "ALN" 2022 "S1" 2 0.2
"1503" "RUI_0538" "RUI" 2021 "S2" 19 0.03
"1504" "RAS_1431" "RAS" 2021 "S3" 2 0.02
"1505" "GON_1084" "GON" 2021 "S3" 2 0.01
"1506" "ALN_0920" "ALN" 2021 "S2" 7 0.08
"1507" "ALN_0931" "ALN" 2021 "S3" 15 0.16
"1508" "RAS_1403" "RAS" 2022 "S1" 5 0
"1509" "ALN_0925" "ALN" 2021 "S2" 13 0.05
"1510" "GON_1180" "GON" 2022 "S1" 8 0.01
"1511" "RAS_1510" "RAS" 2022 "S1" 3 0
"1512" "RUI_0637" "RUI" 2021 "S2" 7 0.01
"1513" "RUI_0419" "RUI" 2021 "S2" 29 0.05
"1514" "RUI_0450" "RUI" 2021 "S1" 5 0.17
"1515" "RAS_1588" "RAS" 2021 "S2" 1 0.16
"1516" "RUI_0633" "RUI" 2021 "S2" 24 0.03
"1517" "ALN_0656" "ALN" 2021 "S3" 2 0.04
"1518" "RUI_0337" "RUI" 2021 "S1" 10 0.02
"1519" "RAS_1398" "RAS" 2022 "S1" 1 0
"1520" "GON_1205" "GON" 2022 "S2" 10 0
"1521" "GON_0994" "GON" 2021 "S3" 3 0.01
"1522" "RAS_1445" "RAS" 2022 "S1" 9 0
"1523" "RUI_0619" "RUI" 2021 "S2" 19 0.3
"1524" "ALN_0733" "ALN" 2021 "S3" 10 0.05
"1525" "RAS_1328" "RAS" 2021 "S3" 8 0.005
"1526" "RUI_0594" "RUI" 2021 "S3" 32 0.9
"1527" "ALN_0701" "ALN" 2021 "S3" 23 0.2
"1528" "ALN_0874" "ALN" 2021 "S3" 24 0.1
"1529" "RAS_1332" "RAS" 2022 "S2" 5 0
"1530" "RUI_0459" "RUI" 2021 "S2" 3 0.01
"1531" "GON_1226" "GON" 2022 "S1" 8 0
"1532" "RUI_0336" "RUI" 2021 "S1" 2 0.02
"1533" "ALN_0764" "ALN" 2021 "S3" 8 0.16
"1534" "ALN_0874" "ALN" 2021 "S3" 18 0.08
"1535" "GON_1054" "GON" 2022 "S1" 10 0
"1536" "RUI_0601" "RUI" 2021 "S2" 9 0.15
"1537" "GON_1253" "GON" 2021 "S2" 1 0.01
"1538" "ALN_0676" "ALN" 2022 "S2" 6 0
"1539" "RUI_0621" "RUI" 2021 "S2" 24 0.02
"1540" "GON_1264" "GON" 2022 "S1" 2 0
"1541" "GON_1105" "GON" 2022 "S1" 4 0
"1542" "ALN_0646" "ALN" 2022 "S2" 9 0
"1543" "ALN_0716" "ALN" 2021 "S2" 3 0.08
"1544" "RAS_1508" "RAS" 2022 "S1" 3 0
"1545" "KEV_0217" "KEV" 2022 "S2" 5 0
"1546" "GON_1079" "GON" 2021 "S3" 2 0.01
"1547" "ALN_0879" "ALN" 2022 "S1" 7 0
"1548" "RUI_0540" "RUI" 2021 "S2" 7 0.01
"1549" "RUI_0459" "RUI" 2021 "S3" 6 0.01
"1550" "RUI_0473" "RUI" 2021 "S3" 42 0.17
"1551" "RUI_0366" "RUI" 2021 "S1" 9 0.03
"1552" "ALN_0915" "ALN" 2022 "S1" 2 0.1
"1553" "ALN_0811" "ALN" 2021 "S2" 3 0.005
"1554" "GON_1050" "GON" 2021 "S4" 7 0.05
"1555" "RUI_0639" "RUI" 2021 "S2" 2 0.01
"1556" "RAS_1560" "RAS" 2022 "S1" 1 0
"1557" "GON_0982" "GON" 2021 "S4" 4 0.01
"1558" "ALN_0880" "ALN" 2021 "S3" 21 0.15
"1559" "RAS_1558" "RAS" 2021 "S2" 3 0.25
"1560" "RAS_1538" "RAS" 2021 "S2" 6 0.02
"1561" "RUI_0324" "RUI" 2021 "S1" 5 0.02
"1562" "RUI_0328" "RUI" 2021 "S2" 27 0.03
"1563" "ALN_0878" "ALN" 2021 "S3" 13 0.1
"1564" "KEV_0257" "KEV" 2022 "S1" 10 0
"1565" "RUI_0422" "RUI" 2021 "S2" 27 0.05
"1566" "ALN_0850" "ALN" 2022 "S1" 5 0
"1567" "RAS_1298" "RAS" 2022 "S1" 8 0
"1568" "RUI_0581" "RUI" 2021 "S1" 3 0.01
"1569" "RAS_1516" "RAS" 2022 "S2" 4 0
"1570" "RUI_0514" "RUI" 2021 "S2" 23 0.05
"1571" "RAS_1537" "RAS" 2022 "S2" 7 0
"1572" "ALN_0674" "ALN" 2021 "S3" 25 0.1
"1573" "KEV_0186" "KEV" 2022 "S1" 10 0
"1574" "ALN_0700" "ALN" 2021 "S3" 24 0.13
"1575" "KEV_0291" "KEV" 2022 "S1" 6 0
"1576" "RUI_0576" "RUI" 2021 "S2" 31 0.01
"1577" "ALN_0884" "ALN" 2021 "S3" 11 0.16
"1578" "ALN_0931" "ALN" 2022 "S2" 8 0
"1579" "ALN_0671" "ALN" 2021 "S3" 32 0.3
"1580" "RUI_0575" "RUI" 2021 "S2" 10 0.05
"1581" "RUI_0431" "RUI" 2021 "S1" 4 0.01
"1582" "ALN_0887" "ALN" 2021 "S3" 18 0.4
"1583" "ALN_0812" "ALN" 2022 "S2" 2 0
"1584" "RUI_0456" "RUI" 2021 "S2" 15 0.01
"1585" "GON_1072" "GON" 2022 "S1" 7 0
"1586" "RAS_1481" "RAS" 2021 "S3" 4 0.03
"1587" "RAS_1528" "RAS" 2021 "S3" 4 0.005
"1588" "ALN_0884" "ALN" 2021 "S3" 3 0.08
"1589" "RUI_0338" "RUI" 2021 "S2" 25 0.03
"1590" "KEV_0303" "KEV" 2022 "S2" 4 0.01
"1591" "ALN_0740" "ALN" 2021 "S2" 3 0.01
"1592" "ALN_0877" "ALN" 2022 "S2" 9 0
"1593" "RAS_1318" "RAS" 2021 "S3" 3 0.1
"1594" "ALN_0861" "ALN" 2021 "S3" 7 0.1
"1595" "GON_1161" "GON" 2022 "S2" 5 0
"1596" "GON_1148" "GON" 2022 "S1" 9 0
"1597" "RUI_0333" "RUI" 2021 "S1" 1 0.01
"1598" "RUI_0501" "RUI" 2021 "S2" 19 0.01
"1599" "GON_1109" "GON" 2021 "S4" 5 0.15
"1600" "GON_1268" "GON" 2022 "S2" 7 0
"1601" "RUI_0377" "RUI" 2021 "S2" 36 0.35
"1602" "ALN_0825" "ALN" 2021 "S2" 11 0.12
"1603" "RUI_0501" "RUI" 2021 "S3" 15 0.025
"1604" "GON_1010" "GON" 2022 "S2" 2 0
"1605" "ALN_0769" "ALN" 2022 "S1" 9 0
"1606" "RUI_0444" "RUI" 2021 "S1" 10 0.03
"1607" "RAS_1380" "RAS" 2022 "S1" 8 0
"1608" "GON_1219" "GON" 2022 "S2" 3 0
"1609" "KEV_0260" "KEV" 2022 "S1" 9 0
"1610" "ALN_0697" "ALN" 2021 "S3" 15 0.08
"1611" "RAS_1536" "RAS" 2021 "S3" 3 0.005
"1612" "RUI_0450" "RUI" 2021 "S2" 6 0.03
"1613" "ALN_0904" "ALN" 2022 "S2" 4 0
"1614" "GON_1043" "GON" 2022 "S2" 1 0
"1615" "ALN_0828" "ALN" 2022 "S1" 5 0
"1616" "RAS_1361" "RAS" 2021 "S3" 5 0.03
"1617" "GON_1110" "GON" 2022 "S2" 8 0.01
"1618" "ALN_0875" "ALN" 2021 "S2" 3 0.15
"1619" "RAS_1460" "RAS" 2022 "S2" 1 0.02
"1620" "RAS_1446" "RAS" 2022 "S1" 7 0
"1621" "GON_1062" "GON" 2021 "S4" 6 0.1667
"1622" "ALN_0647" "ALN" 2022 "S1" 5 0
"1623" "RUI_0441" "RUI" 2021 "S2" 17 0.05
"1624" "GON_1075" "GON" 2022 "S1" 9 0.01
"1625" "GON_1181" "GON" 2021 "S4" 2 0.01
"1626" "ALN_0739" "ALN" 2021 "S3" 6 0.02
"1627" "GON_1018" "GON" 2022 "S2" 7 0.166666666666666
"1628" "ALN_0921" "ALN" 2021 "S3" 7 0.2
"1629" "RUI_0533" "RUI" 2021 "S2" 12 0.03
"1630" "RUI_0606" "RUI" 2021 "S2" 23 0.05
"1631" "ALN_0899" "ALN" 2021 "S3" 17 0.1
"1632" "ALN_0864" "ALN" 2021 "S3" 11 0.08
"1633" "RUI_0336" "RUI" 2021 "S2" 28 0.3
"1634" "ALN_0938" "ALN" 2022 "S2" 5 0
"1635" "ALN_0661" "ALN" 2021 "S3" 10 0.06
"1636" "RAS_1445" "RAS" 2021 "S3" 7 0.01
"1637" "GON_1206" "GON" 2022 "S1" 9 0
"1638" "ALN_0897" "ALN" 2021 "S3" 12 0.1
"1639" "ALN_0956" "ALN" 2021 "S3" 4 0.08
"1640" "RUI_0568" "RUI" 2021 "S2" 30 0.03
"1641" "ALN_0929" "ALN" 2021 "S3" 2 0.05
"1642" "RAS_1439" "RAS" 2022 "S2" 3 0
"1643" "ALN_0849" "ALN" 2021 "S2" 2 0.05
"1644" "RUI_0447" "RUI" 2021 "S3" 23 0.025
"1645" "RAS_1525" "RAS" 2022 "S1" 1 0
"1646" "RUI_0620" "RUI" 2021 "S2" 27 0.03
"1647" "RUI_0427" "RUI" 2021 "S3" 22 0.025
"1648" "ALN_0878" "ALN" 2021 "S2" 5 0.01
"1649" "ALN_0944" "ALN" 2022 "S2" 9 0
"1650" "GON_1067" "GON" 2021 "S3" 9 0.01
"1651" "RUI_0539" "RUI" 2021 "S3" 17 0.05
"1652" "ALN_0883" "ALN" 2021 "S3" 5 0.3
"1653" "RUI_0373" "RUI" 2021 "S3" 54 0.17
"1654" "ALN_0950" "ALN" 2021 "S3" 4 0.15
"1655" "ALN_0807" "ALN" 2021 "S3" 20 0.5
"1656" "RAS_1381" "RAS" 2021 "S3" 9 0.08
"1657" "KEV_0204" "KEV" 2022 "S1" 5 0
"1658" "GON_1209" "GON" 2021 "S3" 14 0.1667
"1659" "GON_1135" "GON" 2022 "S2" 8 0
"1660" "RUI_0451" "RUI" 2021 "S2" 38 0.03
"1661" "ALN_0682" "ALN" 2021 "S1" 2 0.01
"1662" "ALN_0766" "ALN" 2021 "S1" 3 0.01
"1663" "ALN_0757" "ALN" 2021 "S3" 32 0.15
"1664" "GON_1041" "GON" 2021 "S2" 2 0.0417
"1665" "RAS_1395" "RAS" 2022 "S1" 2 0
"1666" "RUI_0419" "RUI" 2021 "S2" 15 0.1
"1667" "GON_1031" "GON" 2022 "S2" 1 0
"1668" "ALN_0892" "ALN" 2021 "S3" 3 0.04
"1669" "ALN_0684" "ALN" 2022 "S2" 8 0
"1670" "RAS_1292" "RAS" 2022 "S1" 7 0
"1671" "ALN_0748" "ALN" 2021 "S3" 19 0.16
"1672" "RAS_1298" "RAS" 2022 "S2" 8 0
"1673" "ALN_0781" "ALN" 2022 "S2" 5 0
"1674" "ALN_0848" "ALN" 2021 "S3" 2 0.04
"1675" "KEV_0294" "KEV" 2022 "S2" 10 0
"1676" "RUI_0405" "RUI" 2021 "S3" 21 0.05
"1677" "ALN_0954" "ALN" 2021 "S2" 6 0.1
"1678" "ALN_0748" "ALN" 2021 "S3" 20 0.16
"1679" "RUI_0443" "RUI" 2021 "S2" 17 0.01
"1680" "GON_1230" "GON" 2021 "S3" 4 0.1667
"1681" "KEV_0288" "KEV" 2022 "S2" 3 0
"1682" "ALN_0893" "ALN" 2021 "S2" 6 0.08
"1683" "RUI_0504" "RUI" 2021 "S2" 25 0.03
"1684" "RUI_0571" "RUI" 2021 "S2" 6 0.1
"1685" "GON_1046" "GON" 2022 "S2" 7 0
"1686" "GON_1081" "GON" 2022 "S2" 3 0
"1687" "ALN_0843" "ALN" 2021 "S3" 5 0.04
"1688" "ALN_0759" "ALN" 2021 "S3" 24 0.06
"1689" "RUI_0370" "RUI" 2021 "S2" 15 0.01
"1690" "KEV_0181" "KEV" 2022 "S2" 2 0
"1691" "RUI_0611" "RUI" 2021 "S2" 20 0.05
"1692" "RUI_0402" "RUI" 2021 "S2" 8 0.01
"1693" "RAS_1498" "RAS" 2021 "S3" 5 0.04
"1694" "RUI_0446" "RUI" 2021 "S3" 28 0.025
"1695" "GON_1176" "GON" 2022 "S2" 3 0
"1696" "GON_1031" "GON" 2021 "S3" 3 0.5417
"1697" "GON_1164" "GON" 2022 "S1" 6 0
